,Type,Material,Size,Length,Predicted_label,Confidence
77,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
78,lfnc,pvc,1.5,150 ft.,SAN010101002979,100
79,lfnc,pvc,1.0,500 ft.,SAN010101000264,100
80,lfnc,pvc,0.75,100 ft.,SAN010101000215,100
81,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
82,lfnc,pvc,1.25,100 ft.,SAN010101000217,100
83,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
84,lfnc,pvc,1.5,50 ft.,SAN010101000206,100
85,lfnc,pvc,0.75,400 ft.,"['SAN010101000215', 'SAN010101000263', 'SAN010101000311']",95
86,lfnc,pvc,0.5,1000 ft.,SAN010101000250,100
87,lfnc,pvc,0.75,500 ft.,SAN010101000263,100
88,lfnc,pvc,2.0,50 ft.,SAN010101000207,100
89,lfnc,pvc,0.5,100 ft.,SAN010101000214,100
90,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
91,lfnc,pvc,1.5,50 ft.,SAN010101000206,100
92,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
93,lfnc,pvc,1.0,100 ft.,SAN010101000216,100
94,lfnc,pvc,1.25,50 ft.,SAN010101000205,100
95,lfnc,pvc,1.25,50 ft.,SAN010101000205,100
96,lfnc,pvc,1.5,50 ft.,SAN010101000206,100
97,lfnc,pvc,1.25,200 ft.,SAN010101000313,100
98,lfnc,pvc,0.5,1000 ft.,SAN010101000250,100
99,lfnc,pvc,0.75,175 ft.,SAN010101000383,100
